ZCTA Name,Median Household Income,Population Below Poverty Level,Total Population for Poverty Determination,state,ZCTA,Poverty Rate (%)
ZCTA5 00966,48163,2950,14827,72,00966,19.896135428609966
ZCTA5 00968,49099,579,3448,72,00968,16.792343387471
ZCTA5 00969,50419,7437,41747,72,00969,17.814453733202384
ZCTA5 00971,22480,8805,25782,72,00971,34.15173376774494
ZCTA5 00976,32377,17732,58358,72,00976,30.38486582816409
ZCTA5 00979,34701,2852,16083,72,00979,17.733010010570165
ZCTA5 00982,24895,5602,14253,72,00982,39.30400617413878
ZCTA5 00983,25750,11674,33888,72,00983,34.448772426817754
ZCTA5 00985,26156,10656,31471,72,00985,33.85974389120142
ZCTA5 00987,32555,14987,53917,72,00987,27.796427842795406
ZCTA5 01001,63949,1416,16639,25,01001,8.510126810505438
ZCTA5 01002,61159,6447,24832,25,01002,25.962467783505154
ZCTA5 01003,2499,69,86,25,01003,80.23255813953489
ZCTA5 01005,67302,427,4988,25,01005,8.560545308740979
ZCTA5 01007,91191,907,14927,25,01007,6.07623769009178
ZCTA5 01008,76333,48,1140,25,01008,4.2105263157894735
ZCTA5 01009,80714,67,261,25,01009,25.67049808429119
ZCTA5 01010,70063,210,3631,25,01010,5.783530707793997
ZCTA5 01011,76500,137,1413,25,01011,9.695682944090587
ZCTA5 01012,67321,43,585,25,01012,7.350427350427351
ZCTA5 01013,43808,4235,22076,25,01013,19.183728936401522
ZCTA5 01020,60561,2781,29957,25,01020,9.283306072036586
ZCTA5 01022,46488,546,2586,25,01022,21.11368909512761
ZCTA5 01026,58438,90,930,25,01026,9.67741935483871
ZCTA5 01027,67119,1533,17761,25,01027,8.631270761781431
ZCTA5 01028,87748,751,15823,25,01028,4.746255450925867
ZCTA5 01029,87727,26,538,25,01029,4.83271375464684
ZCTA5 01030,76000,803,11335,25,01030,7.084252315835907
ZCTA5 01031,38173,220,1135,25,01031,19.383259911894275
ZCTA5 01032,68750,39,495,25,01032,7.878787878787878
ZCTA5 01033,96979,238,6322,25,01033,3.7646314457450174
ZCTA5 01034,87750,190,2164,25,01034,8.78003696857671
ZCTA5 01035,74364,349,5197,25,01035,6.715412738118146
ZCTA5 01036,91646,130,5079,25,01036,2.5595589683008466
ZCTA5 01037,80556,54,645,25,01037,8.372093023255815
ZCTA5 01038,72045,122,2734,25,01038,4.462326261887344
ZCTA5 01039,94191,47,1207,25,01039,3.8939519469759736
ZCTA5 01040,40769,11471,39099,25,01040,29.338346249264685
ZCTA5 01050,67750,209,2428,25,01050,8.607907742998352
ZCTA5 01053,60823,312,1328,25,01053,23.49397590361446
ZCTA5 01054,90978,131,2001,25,01054,6.546726636681659
ZCTA5 01056,73458,1777,20516,25,01056,8.661532462468317
ZCTA5 01057,83008,547,8804,25,01057,6.213084961381191
ZCTA5 01060,61798,1966,13522,25,01060,14.539269338855199
ZCTA5 01062,75179,1129,10071,25,01062,11.210406116572337
ZCTA5 01063,-666666666,0,0,25,01063,
ZCTA5 01066,-666666666,0,31,25,01066,0.0
ZCTA5 01068,88571,81,1829,25,01068,4.428649535265173
ZCTA5 01069,63750,638,8403,25,01069,7.592526478638581
ZCTA5 01070,60000,44,648,25,01070,6.790123456790123
ZCTA5 01071,75592,75,1318,25,01071,5.690440060698028
ZCTA5 01072,80625,129,1471,25,01072,8.769544527532291
ZCTA5 01073,104577,152,6124,25,01073,2.4820378837361203
ZCTA5 01074,86414,71,411,25,01074,17.27493917274939
ZCTA5 01075,69346,1462,15216,25,01075,9.608307045215563
ZCTA5 01077,73776,741,9648,25,01077,7.680348258706468
ZCTA5 01079,31594,0,781,25,01079,0.0
ZCTA5 01080,65741,674,2709,25,01080,24.88002953119232
ZCTA5 01081,69250,106,1862,25,01081,5.692803437164339
ZCTA5 01082,56637,1333,10544,25,01082,12.642261001517452
ZCTA5 01083,60323,405,3094,25,01083,13.089851325145444
ZCTA5 01084,75938,12,168,25,01084,7.142857142857142
ZCTA5 01085,68042,2771,38655,25,01085,7.1685422325701715
ZCTA5 01086,-666666666,0,0,25,01086,
ZCTA5 01088,54286,91,509,25,01088,17.87819253438114
ZCTA5 01089,53053,3227,28457,25,01089,11.339916365041994
ZCTA5 01092,108725,71,1278,25,01092,5.555555555555555
ZCTA5 01093,91563,25,313,25,01093,7.987220447284344
ZCTA5 01094,-666666666,33,387,25,01094,8.527131782945736
ZCTA5 01095,108965,394,14386,25,01095,2.7387738078687613
ZCTA5 01096,82574,191,2438,25,01096,7.834290401968827
ZCTA5 01097,-666666666,40,56,25,01097,71.42857142857143
ZCTA5 01098,80192,78,1255,25,01098,6.2151394422310755
ZCTA5 01103,26135,992,2332,25,01103,42.53859348198971
ZCTA5 01104,34937,5596,23582,25,01104,23.72996353150708
ZCTA5 01105,19427,5844,11500,25,01105,50.81739130434782
ZCTA5 01106,121141,337,15331,25,01106,2.1981605896549476
ZCTA5 01107,26258,4985,11463,25,01107,43.48774317368926
ZCTA5 01108,43235,7201,26801,25,01108,26.868400432819673
ZCTA5 01109,35339,7559,27181,25,01109,27.809867186637728
ZCTA5 01118,63571,2505,14708,25,01118,17.03154745716617
ZCTA5 01119,46985,2366,12638,25,01119,18.721316664029118
ZCTA5 01128,61659,167,2541,25,01128,6.572215663124754
ZCTA5 01129,58621,1029,6869,25,01129,14.980346484204397
ZCTA5 01151,43128,1858,9032,25,01151,20.571302037201065
ZCTA5 01199,-666666666,0,0,25,01199,
ZCTA5 01201,52223,5706,43651,25,01201,13.0718654784541
ZCTA5 01220,53223,913,8171,25,01220,11.173662954350752
ZCTA5 01222,58646,87,807,25,01222,10.780669144981413
ZCTA5 01223,75250,156,2443,25,01223,6.3855914858780185
ZCTA5 01224,77717,29,125,25,01224,23.200000000000003
ZCTA5 01225,71081,224,3105,25,01225,7.214170692431562
ZCTA5 01226,68915,320,6658,25,01226,4.806248122559327
ZCTA5 01229,-666666666,0,91,25,01229,0.0
ZCTA5 01230,69328,569,7572,25,01230,7.514527205493924
ZCTA5 01235,63947,286,2564,25,01235,11.154446177847113
ZCTA5 01236,64048,53,1196,25,01236,4.431438127090301
ZCTA5 01237,67625,202,2488,25,01237,8.118971061093246
ZCTA5 01238,73333,304,5592,25,01238,5.436337625178827
ZCTA5 01240,68393,220,4113,25,01240,5.348893751519572
ZCTA5 01242,-666666666,4,471,25,01242,0.8492569002123143
ZCTA5 01243,49643,11,268,25,01243,4.104477611940299
ZCTA5 01244,51538,0,132,25,01244,0.0
ZCTA5 01245,80417,43,836,25,01245,5.143540669856459
ZCTA5 01247,44721,2540,14384,25,01247,17.658509454949943
ZCTA5 01253,85417,32,763,25,01253,4.193971166448231
ZCTA5 01254,91484,54,902,25,01254,5.986696230598669
ZCTA5 01255,71023,35,831,25,01255,4.21179302045728
ZCTA5 01256,58125,47,660,25,01256,7.121212121212121
ZCTA5 01257,100909,167,2017,25,01257,8.279623202776401
ZCTA5 01258,67500,39,488,25,01258,7.991803278688526
ZCTA5 01259,68438,48,540,25,01259,8.88888888888889
ZCTA5 01260,118508,32,427,25,01260,7.494145199063232
ZCTA5 01262,29659,200,933,25,01262,21.436227224008576
ZCTA5 01264,71250,42,206,25,01264,20.388349514563107
